"source_population","sla","leaf.area","stomatal.density","lwr","stomatal.pore.index"
"ALC",59.1814195195652,4.60530434782609,42.0565302147368,11.5956997181739,0.166039226368421
"ANY",55.0464447046237,3.95281720430108,40.3978052125926,12.1729098172043,0.142961625111111
"BAN",47.7414240704545,4.87881818181818,50.3367003363636,11.710775961,0.1735855065
"BAV",56.0440624653571,3.87996428571429,38.5555555548,11.1471745193393,0.139748165
"BRD",51.9023802464557,4.56120253164557,49.6399176947222,9.72800480646835,0.183401430361111
"CDB",52.1109552218182,3.50584848484848,47.6608187126316,10.7261547247273,0.150110145
"CER",48.3547216079687,5.103421875,43.9259259264,12.2044297081562,0.15365167716
"FRK",NA,NA,NA,NA,NA
"GAR",52.5251979428571,3.19563333333333,42.0702754033333,16.489384276,0.178408933076923
"KAR",56.9518014955263,4.792,41.0628019321739,9.43665925378947,0.168523432869565
"KLM",51.3022459438806,5.28286567164179,46.6563786016667,9.95861298953731,0.182463888277778
"KSW",52.1092474528889,2.93464444444444,39.8148148157143,17.3844720735556,0.150651630678571
"LOE",57.6046137958974,3.51925641025641,48.5282651089474,12.4864352112821,0.141303613315789
"MGU",53.363923995,3.55363636363636,47.9532163742105,16.0755323425455,0.173581745947368
"POT",52.1188750477551,4.71675510204082,50.0250250248649,10.1335343854082,0.194175571432432
"RIV",55.6466067940625,3.8001875,54.9382716048485,10.6328714408438,0.174127561787879
"RND",51.4858513633803,4.44607323943662,45.4475308641667,12.3952405212535,0.186230899916667
"SWA",57.8470514208247,3.70234020618557,41.111111112,10.8281254667216,0.154106381828571
"UNI",53.882744743617,4.50210638297872,40.7186948861905,9.1400050667234,0.163278452666667
"VAN",55.49542518,4.06333333333333,44.8470209343478,11.2732109267937,0.148826917956522
